KE: , 64 , PE: , -250 , total: , -186 , delta E: , -0 , t: , 2
KE: , 425.777 , PE: , -611.777 , total: , -186 , delta E: , 1.61056e-13 , t: , 346
KE: , 334.508 , PE: , -520.508 , total: , -186 , delta E: , 1.60751e-13 , t: , 348
KE: , 263.439 , PE: , -449.439 , total: , -186 , delta E: , 1.61668e-13 , t: , 350
KE: , 211.256 , PE: , -397.256 , total: , -186 , delta E: , 1.61515e-13 , t: , 352
KE: , 172.865 , PE: , -358.865 , total: , -186 , delta E: , 1.61362e-13 , t: , 354
KE: , 144.167 , PE: , -330.167 , total: , -186 , delta E: , 1.61056e-13 , t: , 356
KE: , 122.372 , PE: , -308.372 , total: , -186 , delta E: , 1.61209e-13 , t: , 358
KE: , 105.639 , PE: , -291.639 , total: , -186 , delta E: , 1.61209e-13 , t: , 360
KE: , 92.74 , PE: , -278.74 , total: , -186 , delta E: , 1.60751e-13 , t: , 362
KE: , 82.8485 , PE: , -268.848 , total: , -186 , delta E: , 1.60751e-13 , t: , 364
KE: , 75.3992 , PE: , -261.399 , total: , -186 , delta E: , 1.60751e-13 , t: , 366
KE: , 70.0062 , PE: , -256.006 , total: , -186 , delta E: , 1.60598e-13 , t: , 368
KE: , 66.411 , PE: , -252.411 , total: , -186 , delta E: , 1.60445e-13 , t: , 370
KE: , 64.4511 , PE: , -250.451 , total: , -186 , delta E: , 1.60445e-13 , t: , 372
KE: , 64.0409 , PE: , -250.041 , total: , -186 , delta E: , 1.60445e-13 , t: , 374
KE: , 65.1629 , PE: , -251.163 , total: , -186 , delta E: , 1.60598e-13 , t: , 376
KE: , 67.8655 , PE: , -253.865 , total: , -186 , delta E: , 1.60751e-13 , t: , 378
KE: , 72.2681 , PE: , -258.268 , total: , -186 , delta E: , 1.60292e-13 , t: , 380
KE: , 78.5749 , PE: , -264.575 , total: , -186 , delta E: , 1.60445e-13 , t: , 382
KE: , 87.0983 , PE: , -273.098 , total: , -186 , delta E: , 1.60751e-13 , t: , 384
KE: , 98.2993 , PE: , -284.299 , total: , -186 , delta E: , 1.60598e-13 , t: , 386
KE: , 112.852 , PE: , -298.852 , total: , -186 , delta E: , 1.60445e-13 , t: , 388
KE: , 131.746 , PE: , -317.746 , total: , -186 , delta E: , 1.60751e-13 , t: , 390
KE: , 156.462 , PE: , -342.462 , total: , -186 , delta E: , 1.60904e-13 , t: , 392
KE: , 189.232 , PE: , -375.232 , total: , -186 , delta E: , 1.60598e-13 , t: , 394
KE: , 233.416 , PE: , -419.416 , total: , -186 , delta E: , 1.60445e-13 , t: , 396
KE: , 293.73 , PE: , -479.73 , total: , -186 , delta E: , 1.6014e-13 , t: , 398
